"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.870999810E1,2.195509800E0,1.510996451E2,1.977999878E2,NaN,NaN,3.754880876E-1,1.040999985E2,2.072927284E1,0.000000000E0
5.081726500E-2,4.871321540E1,2.193955400E0,NaN,NaN,NaN,NaN,3.754880876E-1,6.999990234E2,0.000000000E0,0.000000000E0
5.081726500E-2,4.871321540E1,2.193955400E0,NaN,NaN,NaN,NaN,3.754880876E-1,6.999990234E2,0.000000000E0,0.000000000E0
5.081726500E-2,4.871321540E1,2.193955400E0,NaN,NaN,NaN,NaN,3.754880876E-1,6.999990234E2,0.000000000E0,0.000000000E0
1.139281727E1,4.871321540E1,2.193955400E0,NaN,NaN,NaN,NaN,6.194765355E-1,6.999990234E2,0.000000000E0,0.000000000E0
1.406630885E1,4.871117577E1,2.195181590E0,1.729971803E2,2.196972046E2,1.470000029E0,1.496000061E2,6.253577697E-1,1.565990639E1,1.785855484E1,0.000000000E0
1.507031374E1,4.871119154E1,2.195258100E0,1.573941373E2,2.040941162E2,1.179999948E0,1.948000031E2,6.279013558E-1,5.639155388E0,6.498383522E0,1.400000000E1
1.606544723E1,4.871116925E1,2.195265890E0,1.585865149E2,2.052864990E2,8.500000238E-1,2.131999969E2,6.318071597E-1,4.462334156E0,5.105448723E0,2.600000000E1
1.706953739E1,4.871113850E1,2.195291620E0,1.546982096E2,2.013981934E2,6.100000143E-1,2.131999969E2,6.354187693E-1,5.035807133E0,6.512645245E0,2.700000000E1
1.806243630E1,4.871114999E1,2.195245580E0,1.548085425E2,2.015085449E2,6.800000072E-1,2.131999969E2,6.377386513E-1,5.063755512E0,5.345248222E0,2.600000000E1
1.906759744E1,4.871116018E1,2.195273170E0,1.589180578E2,2.056180420E2,2.899999917E-1,2.131999969E2,6.378406356E-1,4.176526546E0,5.187608719E0,2.800000000E1
1.970078760E1,4.871116105E1,2.195273610E0,1.585210247E2,2.052210083E2,0.000000000E0,NaN,6.393399071E-1,3.790092468E0,3.329158068E0,2.700000000E1
2.069845718E1,4.871114995E1,2.195262010E0,1.590077696E2,2.057077637E2,1.169999957E0,1.670000000E2,6.400973561E-1,3.790092468E0,4.034170628E0,2.300000000E1
2.170542077E1,4.871115675E1,2.195261400E0,1.590962120E2,2.057962036E2,0.000000000E0,NaN,6.413685992E-1,3.790092468E0,3.701592207E0,2.500000000E1
2.269772952E1,4.871114674E1,2.195269770E0,1.568500574E2,2.035500488E2,1.570000052E0,1.880000000E2,6.431260345E-1,3.790092468E0,3.406122684E0,2.500000000E1
2.370608197E1,4.871113310E1,2.195257670E0,1.575953459E2,2.042953491E2,1.529999971E0,1.825000000E2,6.441203589E-1,3.790092468E0,2.955737114E0,2.500000000E1
2.469667223E1,4.871112645E1,2.195248610E0,1.554651506E2,2.021651611E2,9.800000191E-1,2.003000031E2,6.460336409E-1,3.790092468E0,2.705693483E0,2.500000000E1
