"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.879208900E-2,4.870052830E1,2.233744900E0,NaN,NaN,NaN,NaN,1.826779153E0,8.999990234E2,0.000000000E0,0.000000000E0
3.347370728E0,4.870841313E1,2.211907140E0,1.523581076E2,1.990507812E2,1.220000029E0,1.199000015E2,1.830771300E0,1.551575851E1,1.808638954E1,0.000000000E0
4.335063072E0,4.870844849E1,2.211916560E0,1.499613986E2,1.966540527E2,1.279999971E0,1.020999985E2,1.834288866E0,1.336731243E1,1.510702515E1,2.300000000E1
5.346509478E0,4.870842149E1,2.211941540E0,1.519725694E2,1.986652222E2,1.440000057E0,1.163000031E2,1.838736359E0,1.160937023E1,1.334356499E1,2.700000000E1
6.330226508E0,4.870844256E1,2.211890020E0,1.446878231E2,1.913804932E2,6.200000048E-1,1.163000031E2,1.846789297E0,1.285637379E1,1.463299847E1,2.900000000E1
7.346080779E0,4.870837628E1,2.211934250E0,1.493369877E2,1.960296631E2,2.049999952E0,1.301000061E2,1.851542783E0,1.911186218E1,2.604906845E1,2.800000000E1
8.333843226E0,4.870840116E1,2.211881570E0,1.437726403E2,1.904653320E2,1.169999957E0,1.293000031E2,1.853314841E0,2.075629044E1,2.936006165E1,2.700000000E1
9.346773278E0,4.870839215E1,2.211901490E0,1.454895046E2,1.921821899E2,1.070000052E0,1.403999939E2,1.858259488E0,2.141044426E1,3.057257080E1,2.500000000E1
9.960060778E0,4.870841523E1,2.211959090E0,1.498980518E2,1.965906982E2,8.700000048E-1,1.720000000E2,1.860032711E0,1.029390430E1,1.363984966E1,2.500000000E1
1.096003442E1,4.870840699E1,2.211938400E0,1.395965852E2,1.862892456E2,5.099999905E-1,1.841000061E2,1.861128823E0,7.717817783E0,9.815781593E0,2.500000000E1
1.196224510E1,4.870841055E1,2.211952330E0,1.418885249E2,1.885811768E2,5.000000000E-1,1.951999969E2,1.863079359E0,6.848499298E0,8.666069031E0,2.500000000E1
1.296038401E1,4.870840275E1,2.211928520E0,1.421037195E2,1.887963867E2,6.100000143E-1,2.256000061E2,1.863326697E0,5.884921551E0,7.275611877E0,2.600000000E1
1.396034656E1,4.870840305E1,2.211925180E0,1.431073190E2,1.897999878E2,4.799999893E-1,2.421000061E2,1.864252144E0,4.976832390E0,6.095921040E0,2.600000000E1
1.495894802E1,4.870839854E1,2.211914580E0,1.439794431E2,1.906721191E2,1.029999971E0,2.388000031E2,1.865186813E0,5.247633457E0,6.149600029E0,2.600000000E1
1.596039593E1,4.870839128E1,2.211908160E0,1.426179256E2,1.893106079E2,6.899999976E-1,2.266999969E2,1.866327675E0,5.190042496E0,5.683123112E0,2.600000000E1
1.696066765E1,4.870838298E1,2.211899020E0,1.435799536E2,1.902726440E2,9.300000072E-1,2.240000000E2,1.867903337E0,5.231234550E0,5.607532024E0,2.400000000E1
1.795811676E1,4.870836990E1,2.211890760E0,1.418557008E2,1.885484009E2,1.129999995E0,2.156999969E2,1.869146603E0,5.503948212E0,5.269561291E0,2.500000000E1
1.896111176E1,4.870835958E1,2.211884240E0,1.416934617E2,1.883861694E2,8.399999738E-1,2.120000000E2,1.869736761E0,6.025534630E0,5.118897438E0,2.500000000E1
1.996530593E1,4.870835519E1,2.211879720E0,1.415873174E2,1.882800293E2,5.600000024E-1,2.181999969E2,1.870815543E0,5.126606941E0,4.969544411E0,2.500000000E1
2.096663171E1,4.870834605E1,2.211874790E0,1.422582095E2,1.889509277E2,6.700000167E-1,2.108999939E2,1.872079522E0,5.112394810E0,4.755950928E0,2.600000000E1
2.196538218E1,4.870833477E1,2.211872660E0,1.419965460E2,1.886892700E2,7.500000000E-1,2.078999939E2,1.873049116E0,5.024062634E0,4.480888367E0,2.400000000E1
2.296409723E1,4.870832630E1,2.211875800E0,1.441466295E2,1.908393555E2,3.499999940E-1,1.933999939E2,1.874626441E0,4.661869049E0,4.421028614E0,2.400000000E1
2.396483775E1,4.870831224E1,2.211878650E0,1.429255557E2,1.896182861E2,6.200000048E-1,1.911000061E2,1.875918517E0,4.609663010E0,4.263694286E0,2.300000000E1
2.496788692E1,4.870830230E1,2.211869530E0,1.417387793E2,1.884315186E2,1.149999976E0,2.353999939E2,1.877191479E0,4.447629452E0,4.098813057E0,2.300000000E1
2.596702015E1,4.870829736E1,2.211853880E0,1.415124510E2,1.882052002E2,9.700000286E-1,2.356999969E2,1.878539910E0,4.421954632E0,4.147542000E0,2.300000000E1
2.696212098E1,4.870828838E1,2.211841530E0,1.413416035E2,1.880343628E2,8.600000143E-1,2.125000000E2,1.879962404E0,4.446000576E0,4.210824490E0,2.200000000E1
2.796101030E1,4.870827668E1,2.211833690E0,1.401739311E2,1.868666992E2,9.599999785E-1,2.051000061E2,1.881157826E0,4.529077530E0,4.197792053E0,2.300000000E1
2.896675285E1,4.870826596E1,2.211832460E0,1.413718630E2,1.880646362E2,9.100000262E-1,2.003999939E2,1.883699691E0,5.186398506E0,4.278190136E0,2.200000000E1
2.996467405E1,4.870824317E1,2.211835160E0,1.404118328E2,1.871046143E2,1.730000019E0,1.860000000E2,1.885745852E0,4.556406498E0,4.044965744E0,2.100000000E1
3.096215025E1,4.870822748E1,2.211820590E0,1.402730859E2,1.869658813E2,1.649999976E0,1.905000000E2,1.887524203E0,4.393459797E0,3.997152328E0,2.100000000E1
3.196103827E1,4.870821360E1,2.211808550E0,1.410046414E2,1.876974487E2,1.570000052E0,1.906000061E2,1.888917490E0,4.417335033E0,4.146167278E0,2.200000000E1
3.296384389E1,4.870820994E1,2.211790390E0,1.419088055E2,1.886016235E2,1.330000043E0,2.116999969E2,1.890773104E0,4.216279030E0,4.038826466E0,2.300000000E1
3.396212436E1,4.870820336E1,2.211767150E0,1.415791400E2,1.882719727E2,1.700000048E0,2.193000031E2,1.891841905E0,4.192121506E0,4.096031666E0,2.400000000E1
3.496521468E1,4.870820205E1,2.211752720E0,1.430970765E2,1.897899170E2,1.120000005E0,2.103000031E2,1.893675069E0,4.229074478E0,4.314295769E0,2.400000000E1
3.596393426E1,4.870820063E1,2.211727830E0,1.431630423E2,1.898558960E2,1.549999952E0,2.256999969E2,1.894605583E0,4.185390949E0,4.370076656E0,2.400000000E1
3.696092020E1,4.870819922E1,2.211715330E0,1.439959211E2,1.906887817E2,7.400000095E-1,2.338999939E2,1.895723246E0,4.063274384E0,4.168362617E0,2.400000000E1
3.796235488E1,4.870818929E1,2.211712970E0,1.445046438E2,1.911975098E2,1.129999995E0,1.993999939E2,1.897227984E0,3.912939548E0,3.987785578E0,2.300000000E1
3.896580452E1,4.870817741E1,2.211703150E0,1.453504590E2,1.920433350E2,1.419999957E0,2.255000000E2,1.897489832E0,3.904927969E0,3.982063055E0,2.200000000E1
3.996132754E1,4.870817653E1,2.211699840E0,1.458170707E2,1.925099487E2,7.699999809E-1,2.226000061E2,1.898141289E0,3.826610088E0,3.903333664E0,2.200000000E1
4.096219957E1,4.870817366E1,2.211692100E0,1.469991945E2,1.936920776E2,1.039999962E0,2.228000031E2,1.899558814E0,3.792681932E0,3.869209051E0,2.200000000E1
